fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
8.194,0.886,0.2,1.398,0.086,7.002,31.094,0.995,3.108,0.461,10.002,5
5.156,0.492,0.259,2.285,0.09,23.02,74.248,0.995,3.711,0.623,12.179,6
7.176,0.45,0.156,1.994,0.077,10.006,27.514,0.996,3.289,0.51,9.91,6
7.495,0.57,0.022,2.608,0.077,11.101,34.046,0.996,3.361,0.621,10.796,6
7.487,0.57,0.021,2.608,0.078,11.129,35.536,0.996,3.359,0.621,10.822,6
6.787,0.832,0.087,1.811,0.074,4.18,25.053,0.995,3.382,0.45,9.597,5
7.986,0.598,0.222,2.101,0.08,24.83,104.832,0.996,3.299,0.491,9.885,5
7.988,0.6,0.221,2.082,0.079,24.802,105.229,0.996,3.299,0.49,9.912,5
7.099,0.753,0.154,1.796,0.107,19.978,83.109,0.996,3.189,0.499,9.495,5
7.996,0.809,0.248,3.414,0.076,33.87,84.503,0.997,3.188,0.418,9.199,5
7.366,0.641,0.069,1.802,0.1,8.017,23.269,0.996,3.3,0.579,9.582,5
7.4,0.642,0.072,1.775,0.1,8.124,22.722,0.996,3.298,0.581,9.605,5
6.593,0.641,0.312,6.093,0.083,7.11,48.789,0.997,3.349,0.682,10.314,5
6.698,0.48,0.017,2.183,0.08,35.974,111.549,0.995,3.1,0.53,9.696,5
5.986,0.492,0.0,2.277,0.067,14.892,33.192,0.993,3.58,0.588,12.501,6
8.003,0.64,0.219,2.384,0.094,5.009,32.657,0.996,3.37,0.576,10.984,5
7.088,0.618,0.062,1.328,0.07,5.088,11.795,0.994,3.171,0.482,9.796,5
7.985,0.519,0.252,1.991,0.078,18.921,59.406,0.996,3.302,0.48,10.214,5
6.385,0.57,0.138,3.902,0.069,27.098,72.876,0.997,3.319,0.479,9.196,5
8.617,0.686,0.101,1.635,0.092,2.865,12.137,0.998,3.308,0.65,9.56,6
8.669,0.676,0.102,1.634,0.09,4.019,10.925,0.997,3.308,0.654,9.541,5
7.333,0.591,0.259,1.993,0.08,17.117,104.208,0.996,3.283,0.52,9.907,5
7.005,0.599,0.119,2.174,0.083,12.99,28.436,0.997,3.519,0.618,10.184,7
7.18,0.671,-0.0,2.184,0.069,9.906,24.261,0.996,3.421,0.719,11.098,6
7.882,0.688,0.209,2.118,0.08,32.965,141.201,0.996,3.252,0.512,9.898,5
7.931,0.691,0.21,2.085,0.079,32.947,140.94,0.996,3.25,0.511,9.904,5
7.599,0.299,0.421,2.016,0.052,5.944,23.53,0.996,3.444,0.821,11.906,6
7.211,0.331,0.333,1.694,0.061,2.785,12.921,0.996,3.229,1.099,9.988,8
7.995,0.5,0.39,2.624,0.082,11.901,45.9,0.998,3.429,0.616,10.704,6
7.714,0.281,0.301,2.005,0.062,18.035,34.194,0.995,3.28,0.9,11.303,7
8.207,0.24,0.34,5.075,0.062,7.928,21.777,0.997,3.221,0.938,10.907,6
6.027,0.507,0.0,2.104,0.064,40.049,54.107,0.995,3.54,0.929,10.7,6
8.088,0.291,0.36,2.189,0.048,34.922,53.035,0.995,3.268,1.01,12.394,7
6.028,0.51,-0.002,2.103,0.064,40.046,54.05,0.995,3.541,0.93,10.701,6
6.584,0.962,-0.002,1.792,0.082,5.172,16.065,0.994,3.498,0.439,11.905,6
6.405,0.468,0.401,2.42,0.07,8.108,19.266,0.996,3.558,0.729,10.606,6
8.194,0.241,0.342,5.103,0.062,7.947,22.265,0.997,3.221,0.939,10.917,6
9.907,0.57,0.25,1.985,0.104,12.154,88.641,0.996,3.04,0.902,10.098,5
10.008,0.32,0.591,2.192,0.076,2.92,14.87,0.999,3.199,0.779,9.596,5
6.213,0.579,-0.002,1.609,0.064,8.082,18.3,0.997,3.561,0.841,9.42,5
9.998,0.319,0.59,2.204,0.077,3.009,15.276,0.999,3.2,0.779,9.594,5
7.326,0.34,0.331,2.502,0.064,21.034,36.537,0.995,3.351,0.768,12.107,7
7.769,0.528,0.01,1.598,0.076,3.02,18.75,0.995,3.163,0.46,9.789,5
7.689,0.642,0.207,2.218,0.077,31.861,132.936,0.996,3.271,0.445,9.906,5
7.784,0.533,0.012,1.614,0.078,2.882,18.766,0.995,3.16,0.462,9.802,5
7.506,0.397,0.18,1.594,0.078,24.038,58.054,0.996,3.341,0.578,9.395,5
6.972,0.54,-0.001,2.099,0.078,38.995,54.74,0.996,3.388,0.839,11.396,6
6.357,0.525,0.091,3.892,0.124,14.06,31.335,0.997,3.503,0.672,10.971,4
8.344,0.26,0.371,1.4,0.076,7.906,22.545,0.997,3.26,0.699,9.595,6
8.301,0.261,0.369,1.395,0.076,8.028,22.724,0.997,3.262,0.698,9.597,6
7.697,0.23,0.368,1.794,0.046,23.08,60.192,0.997,3.411,0.713,12.113,6
7.594,0.41,0.332,2.498,0.078,6.08,23.146,0.996,3.301,0.581,11.197,5
7.813,0.64,-0.003,1.9,0.072,26.998,54.943,0.996,3.312,0.632,11.009,5
7.895,0.178,0.397,2.196,0.049,38.032,67.166,0.996,3.332,0.93,11.307,5
7.411,0.41,0.243,1.77,0.066,18.004,47.042,0.996,3.369,0.622,10.412,5
7.605,0.431,0.306,2.084,0.069,12.905,73.747,0.996,3.26,0.541,9.884,6
5.908,0.439,0.001,1.592,0.042,2.991,11.077,0.994,3.478,0.848,11.712,6
6.105,0.401,0.158,1.817,0.069,10.812,25.293,0.996,3.422,0.742,10.107,7
10.197,0.538,0.371,15.418,0.214,54.912,94.867,1.004,3.18,0.772,9.009,6
10.175,0.541,0.373,15.371,0.213,54.916,94.929,1.004,3.182,0.771,9.003,6
10.031,0.383,0.38,1.596,0.169,26.918,89.666,0.999,3.152,0.649,8.512,5
6.808,0.92,0.291,4.811,0.07,15.063,39.242,0.996,3.528,0.54,11.107,5
6.994,0.592,0.0,1.698,0.052,2.948,8.373,0.996,3.405,0.471,10.316,5
7.277,0.672,0.02,2.198,0.073,30.952,92.43,0.996,3.321,0.679,11.086,6
7.224,0.371,0.321,2.004,0.062,14.897,28.108,0.995,3.229,0.731,11.298,7
7.409,0.785,0.19,5.188,0.094,18.971,97.481,0.997,3.158,0.521,9.57,6
6.865,0.631,0.021,1.89,0.078,17.954,29.454,0.997,3.402,0.752,9.798,5
6.901,0.58,0.201,1.753,0.058,8.092,21.938,0.993,3.38,0.491,11.698,5
7.287,0.67,0.024,2.206,0.072,30.949,91.936,0.996,3.318,0.683,11.099,6
7.398,0.785,0.192,5.189,0.094,18.968,98.147,0.997,3.159,0.519,9.583,6
6.935,0.63,0.024,1.886,0.077,18.14,30.162,0.997,3.4,0.75,9.796,5
6.797,0.672,-0.002,1.917,0.08,22.02,39.172,0.997,3.4,0.743,9.694,5
6.91,0.577,0.009,1.908,0.081,39.98,53.781,0.997,3.399,0.732,9.71,5
7.235,0.38,0.311,2.013,0.056,15.168,29.132,0.995,3.229,0.761,11.31,8
7.192,0.373,0.319,2.009,0.061,14.924,28.594,0.995,3.23,0.731,11.288,7
7.818,0.322,0.441,2.706,0.104,8.055,16.82,0.997,3.331,0.779,11.001,7
6.597,0.581,0.02,2.008,0.061,37.142,52.885,0.994,3.348,0.757,11.59,7
7.608,0.492,0.327,1.891,0.074,26.936,84.523,0.997,3.41,0.58,9.011,5
11.693,0.448,0.629,2.177,0.073,6.771,22.701,1.0,3.209,0.693,10.922,6
6.487,0.9,-0.003,1.592,0.053,9.022,17.758,0.995,3.502,0.632,10.909,6
6.003,0.538,0.059,1.798,0.051,37.949,89.388,0.992,3.302,0.497,10.551,6
7.585,0.492,0.327,1.906,0.075,27.098,84.652,0.997,3.409,0.579,9.016,5
8.405,0.29,0.405,1.696,0.068,8.042,19.923,0.996,3.39,0.604,10.492,5
7.895,0.199,0.349,1.692,0.053,6.937,15.011,0.995,3.32,0.801,11.895,7
6.383,0.42,0.09,2.286,0.053,34.124,63.537,0.997,3.412,0.682,10.396,6
6.169,0.784,0.002,2.095,0.06,5.83,12.762,0.997,3.589,0.609,10.008,4
6.777,0.643,0.029,2.287,0.074,14.112,31.095,0.996,3.361,0.578,10.421,6
6.88,0.629,0.011,2.405,0.076,14.013,39.281,0.995,3.343,0.532,10.799,6
6.811,0.59,0.102,1.706,0.063,34.085,53.795,0.996,3.411,0.671,9.686,5
6.799,0.589,0.099,1.702,0.063,34.04,52.893,0.996,3.411,0.668,9.694,5
7.315,0.481,0.319,2.124,0.062,30.983,53.738,0.997,3.3,0.651,9.993,7
6.692,1.039,0.078,2.281,0.067,18.983,31.716,0.996,3.518,0.569,11.024,4
7.319,0.48,0.322,2.108,0.062,31.126,53.952,0.997,3.299,0.649,9.99,7
7.279,0.98,0.048,2.11,0.061,20.012,49.199,0.997,3.313,0.55,9.715,3
9.992,0.691,0.108,1.404,0.084,7.998,24.121,0.996,2.879,0.468,9.688,5
6.726,0.698,0.079,3.729,0.067,7.977,16.055,0.993,3.432,0.523,12.601,5
7.638,0.352,0.601,2.625,0.073,23.187,44.684,0.997,3.379,0.787,11.092,6
6.127,0.599,0.077,1.816,0.071,13.946,44.631,0.993,3.382,0.54,11.002,5
9.869,0.5,0.501,13.814,0.205,48.072,81.96,1.002,3.159,0.749,8.801,5
5.316,0.467,0.106,2.223,0.048,15.766,89.303,0.992,3.539,0.877,13.572,7
9.93,0.498,0.5,13.786,0.205,48.138,81.847,1.002,3.157,0.75,8.804,5
5.298,0.471,0.106,2.218,0.048,15.843,89.293,0.992,3.542,0.879,13.588,7
7.076,0.875,0.049,5.72,0.082,3.039,14.205,0.998,3.399,0.522,10.18,3
8.2,0.275,0.6,2.999,0.104,10.082,21.853,0.998,3.395,0.68,10.589,5
5.634,0.62,0.029,1.5,0.08,6.08,12.396,0.995,3.664,0.621,10.112,4
8.206,0.283,0.599,2.99,0.103,9.891,22.166,0.998,3.39,0.679,10.612,5
7.189,0.581,0.539,2.085,0.114,2.943,8.707,0.997,3.331,0.569,10.302,4
8.11,0.328,0.439,1.49,0.042,5.983,11.934,0.995,3.35,0.609,10.706,5
6.832,0.91,0.06,2.009,0.06,3.989,10.656,0.996,3.531,0.639,10.924,4
6.997,0.653,0.158,2.098,0.074,7.9,24.872,0.996,3.371,0.551,9.691,5
6.786,0.681,0.21,2.11,0.07,8.943,22.852,0.996,3.379,0.601,10.297,5
6.011,0.641,0.047,1.905,0.066,9.082,17.144,0.995,3.519,0.777,10.591,5
5.631,0.539,0.04,1.678,0.049,5.026,13.195,0.994,3.72,0.576,11.402,5
6.218,0.57,0.099,2.118,0.047,4.028,11.636,0.994,3.44,0.76,10.803,6
7.119,0.22,0.486,1.783,0.038,7.957,18.032,0.993,3.389,0.559,12.408,6
5.582,0.544,0.044,1.717,0.049,5.079,12.78,0.994,3.719,0.58,11.395,5
6.206,0.649,0.061,1.618,0.051,5.925,18.156,0.994,3.57,0.54,11.964,5
7.695,0.54,0.256,1.89,0.088,23.028,147.604,0.996,3.261,0.59,9.694,5
6.414,0.308,0.09,1.422,0.066,15.058,28.24,0.995,3.421,0.697,10.003,7
6.994,0.43,0.018,1.92,0.08,15.141,28.2,0.995,3.35,0.807,10.604,6
7.678,0.542,0.26,1.883,0.089,23.029,147.298,0.996,3.26,0.589,9.713,5
6.889,0.737,0.03,2.299,0.055,6.843,16.429,0.995,3.45,0.628,11.497,6
6.572,0.894,0.038,2.296,0.068,7.046,13.358,0.996,3.53,0.579,10.781,6
6.896,0.742,0.03,2.286,0.054,7.028,16.172,0.995,3.447,0.629,11.479,6
7.52,0.725,0.04,1.486,0.076,7.982,15.72,0.995,3.26,0.528,9.584,5
7.805,0.822,0.292,4.292,0.083,21.016,63.364,0.996,3.161,0.528,9.412,5
7.304,0.582,0.181,2.393,0.078,14.978,60.003,0.996,3.31,0.539,9.782,5
6.212,0.438,0.394,2.501,0.077,6.162,14.003,0.996,3.509,0.69,11.006,6
7.482,0.379,0.569,2.298,0.106,5.097,11.774,0.996,3.361,0.552,11.4,6
6.709,0.759,0.021,1.811,0.079,6.067,12.227,0.996,3.549,0.635,9.962,3
6.82,0.807,0.052,2.004,0.07,5.882,13.699,0.996,3.508,0.659,10.789,6
7.506,0.378,0.57,2.295,0.106,4.962,11.818,0.996,3.361,0.552,11.391,6
7.125,0.272,0.599,2.089,0.074,16.92,24.654,0.998,3.381,0.718,10.596,6
7.915,0.181,0.401,1.805,0.061,7.029,19.992,0.994,3.283,0.701,11.079,5
6.389,0.365,0.211,2.207,0.047,26.095,47.98,0.997,3.468,0.768,9.696,6
7.098,0.687,0.039,2.099,0.068,19.004,27.015,0.997,3.439,0.669,9.803,5
6.419,0.79,0.044,2.188,0.062,10.95,16.818,0.996,3.528,0.651,10.389,6
6.408,0.56,0.149,1.816,0.078,17.108,65.654,0.993,3.33,0.602,10.488,6
6.9,0.841,0.212,4.11,0.074,16.037,64.283,0.998,3.527,0.723,9.222,6
6.93,0.842,0.211,4.108,0.073,15.97,65.03,0.998,3.53,0.718,9.235,6
6.129,0.321,0.249,2.296,0.071,22.843,57.69,0.996,3.421,0.968,10.587,5
6.516,0.531,0.059,1.994,0.062,29.018,44.21,0.995,3.383,0.831,10.307,6
7.344,0.471,0.46,2.219,0.114,7.018,19.951,0.996,3.321,0.628,10.502,5
6.605,0.704,0.079,2.601,0.105,13.919,27.312,0.997,3.44,0.581,10.195,5
6.503,0.531,0.06,1.994,0.063,29.093,43.857,0.995,3.38,0.83,10.307,6
6.887,0.48,0.201,1.896,0.082,8.88,23.268,0.996,3.39,0.43,9.069,4
6.079,0.323,0.248,2.316,0.072,23.079,58.378,0.996,3.422,0.969,10.607,5
6.83,0.476,0.248,2.02,0.076,28.945,61.163,0.995,3.339,0.601,10.397,5
6.001,0.417,0.193,2.003,0.074,21.932,47.184,0.995,3.39,0.781,10.008,6
6.684,0.482,0.084,2.1,0.064,17.903,34.192,0.996,3.331,0.639,9.703,5
6.815,0.472,0.08,2.18,0.064,17.989,37.8,0.996,3.3,0.65,9.594,6
7.122,0.53,0.072,1.707,0.071,15.07,23.799,0.995,3.291,0.663,10.798,6
7.913,0.293,0.494,2.21,0.096,21.066,58.984,0.997,3.308,0.668,10.102,6
7.113,0.694,0.08,2.098,0.063,42.013,51.778,0.996,3.419,0.602,10.21,6
6.59,0.439,0.089,2.193,0.063,8.997,18.358,0.994,3.421,0.69,11.315,6
6.103,0.704,0.101,2.803,0.08,12.897,27.915,0.996,3.602,0.66,10.208,5
7.219,0.534,0.127,1.994,0.058,17.982,22.035,0.996,3.211,0.682,9.91,6
8.013,0.391,0.302,1.897,0.074,32.122,84.328,0.997,3.389,0.611,8.994,5
6.576,0.56,0.139,2.396,0.065,12.947,28.654,0.994,3.42,0.622,11.718,7
7.006,0.548,0.128,2.201,0.075,15.018,35.101,0.996,3.362,0.588,9.703,6
6.095,0.529,0.076,1.887,0.078,23.896,44.638,0.995,3.6,0.68,10.292,6
5.393,0.58,0.078,1.895,0.059,20.018,30.802,0.995,3.5,0.64,10.214,6
6.21,0.641,0.093,2.49,0.08,15.056,26.033,0.995,3.571,0.628,12.0,5
7.193,0.393,0.321,1.789,0.064,33.91,59.862,0.997,3.46,0.779,9.896,5
6.242,0.522,0.078,4.399,0.071,11.03,32.402,0.996,3.56,0.628,11.6,6
7.409,0.25,0.292,2.205,0.054,18.987,48.92,0.997,3.4,0.761,10.904,7
6.719,0.856,0.022,1.89,0.064,29.013,37.832,0.995,3.302,0.558,10.748,6
11.074,0.441,0.419,2.215,0.064,13.885,18.356,0.998,3.248,0.571,10.389,6
8.408,0.367,0.431,2.293,0.063,11.914,19.356,0.996,3.174,0.812,11.195,7
6.52,0.632,0.333,1.79,0.059,16.104,28.075,0.995,3.36,0.64,10.078,6
6.995,0.571,0.019,1.992,0.072,17.102,26.337,0.996,3.362,0.61,10.203,5
6.303,0.603,0.104,1.594,0.048,11.931,26.685,0.993,3.552,0.511,12.116,5
11.168,0.402,0.5,2.013,0.099,19.018,50.491,0.998,3.102,0.581,10.401,5
7.4,0.36,0.299,1.781,0.075,17.048,23.72,0.994,3.24,0.701,11.394,8
7.066,0.68,-0.002,2.289,0.088,17.034,26.148,0.998,3.45,0.528,9.498,5
7.101,0.671,0.0,2.291,0.083,17.967,27.162,0.998,3.44,0.542,9.4,5
6.278,0.678,0.012,3.712,0.103,32.112,53.748,0.996,3.511,0.659,11.289,6
7.301,0.734,-0.001,2.198,0.079,17.902,28.016,0.998,3.411,0.601,9.415,5
6.577,0.851,0.019,2.398,0.062,14.809,22.673,0.996,3.538,0.598,11.006,6
7.026,0.56,0.17,1.686,0.065,15.036,24.191,0.995,3.44,0.678,10.557,7
6.598,0.88,0.044,2.204,0.066,11.886,20.366,0.996,3.529,0.561,9.88,5
6.602,0.857,0.021,2.422,0.062,15.071,22.718,0.996,3.538,0.598,11.007,6
6.88,0.628,0.33,6.702,0.235,66.08,114.77,0.998,3.219,0.561,9.467,5
7.779,0.598,0.262,2.022,0.08,31.088,131.425,0.996,3.21,0.518,9.906,5
7.797,0.599,0.257,2.009,0.08,31.149,131.36,0.996,3.212,0.521,9.923,5
7.793,0.601,0.262,2.001,0.079,30.956,130.632,0.996,3.208,0.519,9.9,5
7.207,0.693,0.132,1.984,0.076,11.978,19.566,0.996,3.292,0.539,10.09,5
7.198,0.696,0.129,2.007,0.076,12.175,19.784,0.996,3.29,0.542,10.113,5
7.225,0.695,0.13,1.992,0.076,11.894,20.264,0.995,3.288,0.54,10.109,5
6.727,0.668,0.019,1.885,0.062,25.896,41.877,0.995,3.389,0.821,10.888,6
6.705,0.159,0.639,2.087,0.059,24.033,52.382,0.995,3.34,0.708,11.188,6
7.208,0.693,0.128,1.975,0.076,11.897,20.228,0.996,3.289,0.541,10.103,5
7.018,0.56,0.131,1.589,0.077,25.017,41.965,0.996,3.34,0.591,9.207,5
6.174,0.509,0.142,1.894,0.056,15.224,34.38,0.994,3.481,0.569,11.499,6
6.395,0.359,0.526,2.189,0.23,18.955,34.775,0.993,3.371,0.93,12.394,6
6.376,0.375,0.141,2.201,0.038,14.913,24.855,0.995,3.442,0.651,11.078,6
7.28,0.69,0.319,2.196,0.069,35.121,103.607,0.996,3.328,0.511,9.49,5
6.019,0.579,0.196,2.413,0.075,15.038,49.769,0.995,3.58,0.669,12.503,6
5.589,0.309,0.785,13.902,0.074,23.052,91.211,0.997,3.389,0.482,10.516,6
7.508,0.518,0.399,2.216,0.06,11.944,20.073,0.995,3.26,0.638,11.795,6
8.006,0.3,0.63,1.609,0.081,16.02,29.267,0.996,3.301,0.778,10.807,6
6.193,0.7,0.149,5.098,0.076,13.094,27.385,0.996,3.538,0.603,11.883,6
6.815,0.672,0.149,1.772,0.118,12.939,19.7,0.995,3.421,0.669,11.317,6
6.194,0.561,0.09,1.7,0.053,24.084,32.845,0.994,3.539,0.599,11.297,5
7.408,0.347,0.329,2.378,0.068,8.952,25.988,0.995,3.361,0.599,11.898,6
6.2,0.562,0.086,1.689,0.052,23.786,31.865,0.994,3.542,0.602,11.306,5
6.101,0.714,0.099,2.621,0.053,13.098,27.192,0.994,3.57,0.5,11.922,5
6.189,0.463,0.293,2.093,0.074,31.94,97.941,0.996,3.33,0.619,9.796,5
6.668,0.318,0.442,2.413,0.061,23.913,33.401,0.995,3.292,0.799,11.595,7
7.224,0.392,0.438,2.595,0.065,22.046,47.625,0.995,3.302,0.837,11.508,6
7.523,0.308,0.412,2.4,0.064,34.125,59.541,0.995,3.338,0.851,11.397,6
5.796,0.61,0.11,1.784,0.065,18.192,28.034,0.995,3.551,0.664,10.888,6
7.203,0.656,0.33,2.47,0.068,34.116,101.996,0.994,3.266,0.781,12.8,6
6.62,0.726,0.198,7.799,0.073,29.061,79.462,0.998,3.292,0.54,9.204,5
6.29,0.548,0.149,1.79,0.077,26.156,35.575,0.993,3.321,0.819,11.588,6
5.388,0.744,0.089,1.674,0.088,15.986,26.319,0.994,3.671,0.558,11.606,6
6.313,0.51,0.127,2.277,0.076,28.939,40.028,0.996,3.42,0.75,10.985,6
6.791,0.618,0.079,1.901,0.068,27.972,37.884,0.996,3.422,0.822,9.504,6
6.21,0.6,0.08,1.994,0.09,31.89,43.827,0.995,3.451,0.577,10.511,5
5.906,0.55,0.097,2.187,0.062,38.988,51.26,0.995,3.519,0.758,11.189,6
6.268,0.51,0.136,2.306,0.075,28.992,39.916,0.996,3.421,0.748,10.997,6
5.922,0.645,0.121,2.002,0.075,31.826,44.698,0.996,3.568,0.707,10.189,5
6.013,0.31,0.471,3.59,0.067,17.773,41.823,0.996,3.391,0.66,11.029,6
7.388,0.701,0.001,1.889,0.075,11.05,33.997,0.998,3.512,0.559,9.392,5
7.808,0.881,-0.0,2.593,0.098,24.97,66.869,0.997,3.2,0.678,9.791,5
7.816,0.762,0.037,2.29,0.091,15.055,53.957,0.997,3.26,0.652,9.793,5
11.189,0.278,0.56,1.9,0.075,16.852,60.338,0.998,3.158,0.58,9.8,6
7.392,0.697,-0.003,1.894,0.077,10.942,34.109,0.998,3.508,0.56,9.401,5
7.403,0.657,-0.0,1.806,0.074,13.051,40.135,0.998,3.514,0.56,9.409,5
7.903,0.6,0.061,1.61,0.069,14.981,58.982,0.996,3.3,0.463,9.424,5
7.283,0.649,0.0,1.183,0.066,15.066,21.402,0.995,3.389,0.467,10.014,7
7.773,0.582,0.02,2.013,0.073,9.013,18.378,0.997,3.362,0.571,9.489,7
7.523,0.5,0.361,6.084,0.072,16.969,101.361,0.998,3.351,0.801,10.498,5
6.692,0.581,0.079,1.802,0.097,15.012,65.58,0.996,3.279,0.54,9.218,5
7.486,0.501,0.361,6.096,0.071,16.909,102.291,0.998,3.351,0.8,10.501,5
5.602,0.618,-0.002,1.602,0.089,16.026,59.119,0.994,3.578,0.519,9.9,5
7.827,0.61,0.287,1.587,0.114,8.911,28.525,0.997,3.26,1.56,9.105,5
8.868,0.621,0.18,3.805,0.176,52.038,144.982,0.999,3.16,0.88,9.191,5
8.907,0.618,0.19,3.918,0.17,50.889,147.774,0.999,3.17,0.931,9.21,5
8.475,0.282,0.558,1.796,0.093,35.038,103.145,0.997,3.3,0.75,10.498,7
8.104,0.56,0.279,1.691,0.368,16.064,56.26,0.997,3.108,1.278,9.311,5
7.408,0.589,0.079,4.397,0.086,5.935,29.298,0.997,3.382,0.496,9.0,4
7.885,0.32,0.512,1.805,0.341,17.021,55.481,0.997,3.04,1.081,9.198,6
8.899,0.221,0.478,1.818,0.077,29.012,59.899,0.997,3.39,0.529,9.39,6
7.608,0.39,0.313,2.308,0.082,23.005,70.721,0.998,3.521,0.649,9.701,5
7.863,0.433,0.206,1.615,0.106,9.893,36.524,0.997,3.167,0.911,9.52,5
8.508,0.492,0.112,2.288,0.084,9.052,66.354,0.997,3.172,0.53,9.396,5
6.881,0.4,0.138,2.405,0.085,20.905,40.073,0.997,3.428,0.63,9.692,6
6.315,0.39,0.16,1.406,0.08,10.853,23.018,0.996,3.342,0.559,9.32,5
7.612,0.41,0.239,1.799,0.08,3.838,10.765,0.996,3.282,0.588,9.5,5
7.895,0.43,0.21,1.615,0.106,10.026,37.484,0.997,3.173,0.909,9.502,5
7.099,0.708,0.0,1.893,0.08,14.204,35.027,0.997,3.471,0.548,9.418,5
7.783,0.643,-0.001,1.989,0.082,7.909,16.131,0.996,3.381,0.589,9.804,6
6.707,0.672,0.069,2.423,0.09,17.061,82.284,0.996,3.35,0.541,10.11,5
6.87,0.691,0.002,2.493,0.105,22.022,36.637,0.997,3.463,0.569,10.607,6
8.304,0.656,0.119,2.278,0.082,14.907,112.905,0.997,3.172,0.66,9.788,5
6.901,0.605,0.121,10.708,0.072,40.164,83.177,0.999,3.451,0.519,9.39,6
5.192,0.323,0.252,1.793,0.102,12.932,50.186,0.996,3.38,0.549,9.192,5
7.786,0.646,0.002,5.511,0.086,5.097,18.41,0.999,3.399,0.551,9.605,6
7.813,0.603,0.141,2.409,0.086,2.982,14.574,0.998,3.421,0.598,10.799,6
8.126,0.378,0.281,2.105,0.065,13.197,30.199,0.997,3.233,0.733,9.701,7
5.678,1.127,0.09,1.504,0.172,7.04,19.03,0.994,3.499,0.482,9.788,4
7.288,0.451,0.358,5.891,0.075,12.069,87.096,0.998,3.33,0.831,10.506,5
7.295,0.448,0.36,5.892,0.073,12.092,86.85,0.998,3.332,0.829,10.487,5
8.816,0.611,0.297,2.796,0.088,16.95,46.043,0.998,3.26,0.508,9.302,4
7.491,0.489,0.198,2.606,0.332,8.113,13.865,0.997,3.212,0.902,10.488,6
8.115,0.663,0.221,2.201,0.07,8.78,22.649,0.997,3.3,1.201,10.304,5
6.818,0.671,0.016,1.786,0.05,4.951,10.596,0.996,3.478,0.52,9.503,5
4.581,0.519,0.154,2.072,0.054,8.111,65.542,0.993,3.898,0.558,13.103,4
7.669,0.937,0.432,2.216,0.113,22.224,113.918,0.997,3.248,0.73,9.217,5
8.713,0.291,0.519,1.58,0.113,12.023,36.444,0.997,3.25,0.58,9.491,5
6.403,0.401,0.229,1.604,0.066,5.12,11.935,0.996,3.341,0.562,9.198,5
5.593,0.308,0.368,1.402,0.074,11.917,95.813,0.995,3.32,0.579,9.19,5
8.796,0.663,0.26,1.702,0.074,3.963,23.278,0.997,3.15,0.739,9.202,5
6.627,0.519,0.038,2.22,0.07,8.122,14.885,0.996,3.4,0.627,9.398,6
6.573,0.502,0.038,2.104,0.068,6.087,14.486,0.996,3.387,0.641,9.393,6
8.609,0.38,0.363,3.018,0.081,29.998,118.843,0.997,3.2,0.56,9.389,5
7.606,0.51,0.15,2.794,0.11,32.932,72.898,0.996,3.168,0.631,10.184,6
7.709,0.621,0.039,3.792,0.083,24.945,45.245,0.998,3.34,0.531,9.493,5
10.179,0.421,0.566,3.439,0.07,3.991,9.638,0.997,3.041,0.629,9.576,5
7.506,0.631,0.119,5.084,0.112,49.93,110.929,0.998,3.261,0.769,9.39,5
7.823,0.588,0.182,2.31,0.075,16.947,53.907,0.998,3.431,0.588,10.011,5
7.259,0.386,0.313,2.399,0.074,9.088,45.738,0.996,3.413,0.54,9.407,6
8.801,0.4,0.402,2.19,0.078,19.249,51.96,0.998,3.438,0.64,9.197,5
7.717,0.693,0.494,1.812,0.115,20.072,111.806,0.997,3.209,0.708,9.288,5
7.507,0.523,0.16,1.903,0.084,11.988,35.226,0.997,3.38,0.619,9.51,7
6.987,0.732,0.049,2.02,0.081,13.061,54.283,0.997,3.386,0.57,9.808,5
7.205,0.726,0.051,4.636,0.086,3.984,11.372,0.996,3.407,0.391,10.909,5
7.198,0.724,0.05,4.669,0.086,4.031,11.549,0.996,3.411,0.39,10.9,5
7.477,0.521,0.109,1.512,0.079,11.041,39.206,0.997,3.421,0.581,9.611,5
6.595,0.705,0.072,1.598,0.077,5.913,14.874,0.996,3.439,0.578,10.715,5
9.301,0.322,0.567,1.993,0.074,27.023,65.188,0.997,3.276,0.79,10.721,5
8.001,0.707,0.048,1.892,0.074,7.97,18.817,0.996,3.339,0.951,10.511,6
7.693,0.632,0.083,1.909,0.075,14.888,27.691,0.997,3.319,0.538,9.509,6
7.67,0.671,0.227,2.116,0.089,17.01,96.802,0.996,3.32,0.477,9.494,5
7.69,0.691,0.223,1.903,0.084,17.965,94.052,0.996,3.31,0.48,9.499,5
8.343,0.675,0.26,2.094,0.085,10.937,43.074,0.998,3.308,0.528,9.214,4
9.724,0.32,0.541,2.493,0.094,27.975,83.33,0.998,3.28,0.82,9.602,5
8.786,0.412,0.638,2.202,0.094,8.755,41.916,0.999,3.539,0.658,10.502,5
8.797,0.408,0.639,2.221,0.093,8.996,42.516,0.999,3.541,0.661,10.516,5
6.793,0.784,-0.002,2.392,0.104,14.011,30.082,0.997,3.52,0.551,10.712,6
6.687,0.749,0.123,1.978,0.086,11.955,79.667,0.996,3.378,0.523,10.104,5
